,bathrooms,bedrooms,building_id,created,description,display_address,features,interest_level,latitude,listing_id,longitude,manager_id,photos,price,street_address,price_scaled,GeoC,county,neigh,cl_sub
81534,1.0,3,a012d229cedc81e635aeaff1d4452095,2016-05-07 05:24:35,"Luxury building in the Financial District, you walk into this beautifully renovated apartment. Upon immediately entering the large foyer, you will notice the large California-style closet providing an efficient storage solution for the apartment. Adjacent to it is the brand new, large pass-thru gourmet kitchen, equipped with granite counters, custom cabinetry, stainless steel GE appliances (including a dishwasher, refrigerator, stove top, microwave, and ventilation system).Slightly further up is the full bathroom boasting a marble-tile finish and a large vanity mirror. The large living space is an effortless FLEX-3 conversion, creating in total three bedrooms, very comfortably. With substantial remaining space for a living quarters, you can decide where to situate any accommodating furniture (couch, coffee table, etc). Large over-sized windows on the Eastern exposure flood the hardwood floors with natural light and provide fascinating views of the Brooklyn Bridge, South St Seaport, and surrounding waterscape.<br /><br />Settled on Water St, you are surrounded by an endless amount of options in terms of fine dining, shopping, culture and activities. South St Seaport is across the street from your doorsteps. 55 Fulton Market is conveniently located one block to the North. Titanic Memorial Park is across the street. NYC's historic Financial District and all its attractions are a five minute walk to the South-West. Transit options surround the area, with the primary hub being the newly renovated Fulton Street Station (operational 24 hours a day) where you can catch eight different train lines (including 2, 3, 4, 5, A, C, J, Z).<br /><br />For a private showing Contact me directly EDWIN My direct email is kagglemanager@renthop.com or Call/Text 991-870-3267<br /><br /><p><a  website_redacted ",Broadway,"['Roof Deck', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry in Building', 'Laundry in Unit', 'Dishwasher', 'Hardwood Floors', 'No Fee', 'New Construction']",low,40.7072,6980298,-74.0124,2aa9bfa5f67ed9997ea341dee8a3a271,"['https://photos.renthop.com/2/6980298_7dbcbdddbf95c651ecf7f3356b43c53d.jpg', 'https://photos.renthop.com/2/6980298_ee10804223256042a2a50c96d9ac5736.jpg', 'https://photos.renthop.com/2/6980298_a8aedc9395cd940a2445bc4801cac642.jpg', 'https://photos.renthop.com/2/6980298_46606c2849894cce3a993aa9c5c537c3.jpg', 'https://photos.renthop.com/2/6980298_69e38626104bfc811ee214bfc1debb8d.jpg']",3675,65 Broadway,918.75,"40.7072,-74.0124", New York County,not available,60.3215386267582
95283,1.0,1,91df6cc0b3733807759f7c6d22fe1653,2016-04-23 02:53:47,"London Terrace Gardens, located in the heart of fashionable West Chelsea, is a part of the history of New York. The apartments feature fine hardwood floors, spacious rooms, double-glazed windows, and renovated kitchens.Amenities include: heat, gas, water, electric included for free, 24-hour full-service concierge, 24-hour doorman, on-site 24-hour attended parking garage, breathtaking views of The Hudson River and city skyline, and a beautiful garden area. Tenant storage lockers and bike rooms are available. Resident lounge featuring Joe&apos;s Coffee, flat screen TV and fireplace. New gym in the building with state of the art cardio and exercise equipment.Please call 747-575-4675, email kagglemanager@renthop.com, or visit  website_redacted today for more information!",435 West 23rd Street,"['Fitness Center', 'Indoor Pool', 'Residents Lounge', 'Roof Deck', 'Residents Garden', 'Valet Parking', 'On-site Garage', 'Doorman', 'Valet', 'Laundry in Building', 'No Fee', 'Exclusive', 'Elevator']",low,40.7473,6915710,-74.0026,9df32cb8dda19d3222d66e69e258616b,"['https://photos.renthop.com/2/6915710_9cdfeda8aa298eb1341e6753f25b0bca.jpg', 'https://photos.renthop.com/2/6915710_2f31a1bf06061ed753ee9e47a834dad0.jpg', 'https://photos.renthop.com/2/6915710_ebabff0ea0b57b74c8f2c162f315dcb6.jpg', 'https://photos.renthop.com/2/6915710_bf13ba290836b5c2bd8dbac2ad842de1.jpg', 'https://photos.renthop.com/2/6915710_39abc6c5e65cef2d477b1c8ff0d28ef1.jpg', 'https://photos.renthop.com/2/6915710_fc142775cd7a44a285b5e38909e3d87e.jpg', 'https://photos.renthop.com/2/6915710_725aa156e857b822feffc1a730b73153.jpg', 'https://photos.renthop.com/2/6915710_943431ff32f6275bbd90c65a405d25fb.jpg', 'https://photos.renthop.com/2/6915710_ae48109e0d9d76d3aa0ff83149726604.jpg', 'https://photos.renthop.com/2/6915710_445b8b520d5a99217721f6960bb15226.jpg', 'https://photos.renthop.com/2/6915710_093e236c1ae408f3291aeb009f84f4c0.jpg', 'https://photos.renthop.com/2/6915710_3c3a0b57bfa0200cfbd3260318a86771.jpg', 'https://photos.renthop.com/2/6915710_9d55ab4e7dc7f96a571d089cc4e0bd36.jpg', 'https://photos.renthop.com/2/6915710_bd99bac488e143bea5242481177a868a.jpg']",4000,435 West 23rd Street,2000.0,"40.7473,-74.0026", New York County,not available,414.9911011460787
7519,2.0,0,e87f1236b102798c1fa104a372800444,2016-06-29 04:24:40,"Beautiful, sunny and spacious studio apartment with 2 full sized bathrooms in Greenwich Village featuring:-Doorman.-Gym.-Rooftop lounge.-Elevator.-Garage.-Laundry facility.-Courtyard.-Full sized refrigerator.-Stainless steel appliances.-Staircase to loft level.-Gas stove/oven.-Dishwasher.-Ample closet space.-Microwave.-Marble bathroom with a porcelain counter top.-Porcelain counter top in the kitchen.-Two walk-in closet.-Extra high ceilings.-Extra large windows.-Accent arch windows.-A/C + heating units.-Minutes from subways: 1, 2, A, B, C, D, E, F and M.-Minutes from NYU and Washington Square Park. -Minutes from many restaurants and bars. Please call or email Lucas for an exclusive showing of this and many more listings in NYC.  <br /><br />Bond New York is a real estate broker that supports equal housing opportunity.<p><a  website_redacted ",Greenwich Street,"['Roof Deck', 'Doorman', 'Elevator', 'Fitness Center', 'Loft', 'Multi-Level', 'Dishwasher', 'Hardwood Floors', 'Dogs Allowed', 'Cats Allowed']",low,40.7324,7230914,-74.0081,ffd7307e4924587b30ec014a95db1362,"['https://photos.renthop.com/2/7230914_69305be6d637f02503f13a4ade597bbc.jpg', 'https://photos.renthop.com/2/7230914_eaf85a6e6251e90096046e81185de82c.jpg', 'https://photos.renthop.com/2/7230914_59f74898babfc1c5a0bc1ca10bd5f3a4.jpg', 'https://photos.renthop.com/2/7230914_efbcc810f740c670bef41fe5358e9327.jpg', 'https://photos.renthop.com/2/7230914_671868c4446e8beaa235bcfa527702b9.jpg', 'https://photos.renthop.com/2/7230914_262cf69f36ab0ca3da2db4225ac5519c.jpg', 'https://photos.renthop.com/2/7230914_1abf4a010fdcea7b06d4f2325e648f36.jpg', 'https://photos.renthop.com/2/7230914_5fc702892ca2e7a070205e3920a5bce1.jpg']",6875,666 Greenwich Street,3437.5,"40.7324,-74.0081", New York County,not available,453.19819716100614
41539,1.0,4,424839c29d604fbbb10f3cdaf3342da8,2016-06-16 02:16:02,"Modern 3.5-bedroom apartment near Queens Center Mall and M, R trains. This unit has 3 bedrooms and and additional space which can be used as an office. This unit sits on the 2nd floor of a two family house. The apartment features a dishwasher as a well as a balcony. Heat, Water and Gas included in rent. 2.5 month rent to move in- First, Last, 1/2 month security This apartment is in excellent condition, call or text Adam to schedule a viewing. 501-606-3449",85th St,"['balcony', 'private-balcony', 'Dishwasher', 'No pets', 'On-site laundry', 'Private balcony']",high,40.7297,7166941,-73.8759,e6472c7237327dd3903b3d6f6a94515a,"['https://photos.renthop.com/2/7166941_20ad48b2d745d200fc5e35b0ce3e325a.jpg', 'https://photos.renthop.com/2/7166941_08c74b7cc4fa705005f37a56d0b18d5a.jpg', 'https://photos.renthop.com/2/7166941_1e9a18331eb08fac9f8954e7a2f01a5a.jpg', 'https://photos.renthop.com/2/7166941_892d8074712ad4257f4932fe6a17e105.jpg', 'https://photos.renthop.com/2/7166941_6e900faf2e0028eab611d992ab04eb9a.jpg']",2350,58-24 85th St,470.0,"40.7297,-73.8759", Queens County,not available,663.9798655194119
94146,1.0,3,379a891accd668964c9d2080cce45179,2016-04-07 03:35:16,*** NO FEE ***Apartment Features:- Large Three Bedrooms - King Sized Bedrooms- Granite Kitchen- Microwave and Dishwasher- Gut Renovations- Spacious Living Space- Tiled Bathroom with Bathtub- Hardwood FloorBuilding Features:- Elevator- Laundry- Prime Location Call Magdalena to view this and other apartments today.<br /><br /><br /><br /><br /><br /><p><a  website_redacted ,W 13th St.,"['Dishwasher', 'Hardwood Floors', 'No Fee']",low,40.7372,6838610,-73.9981,e037c4d24a923a1ea9deb04a2a95142f,"['https://photos.renthop.com/2/6838610_4ce308d7fbd5ea59a420facbde296a45.jpg', 'https://photos.renthop.com/2/6838610_2377511eac010e3a7321526d6c07801b.jpg', 'https://photos.renthop.com/2/6838610_d2d45896ad5d02233884225f95f91b12.jpg', 'https://photos.renthop.com/2/6838610_005efac7722c16d26245bc6b988dd121.jpg', 'https://photos.renthop.com/2/6838610_2f0e159b8e23bbf7039a951d8ac5bd0a.jpg', 'https://photos.renthop.com/2/6838610_55cb5ac3da49b3c276a2950c1a8a11e5.jpg']",6600,117 W 13th St.,1650.0,"40.7372,-73.9981", New York County,not available,66.97502523227361
49275,1.0,1,bb8658a3e432fb62a440615333376345,2016-05-09 05:28:58,Apartment AmenitiesHardwood FloorsHigh CeilingsOutdoor SpaceOversized WindowsConv 3brSelf-Controlled Heat and A/CSpacious ClosetTerraceKitchenDishwasherFully Equipped KitchenGloss Lacque CabinetryStainless Steel AppliancesTop of the line AppliancesUnder Cabinet LightingWooden CabinetryBathroomMarble BathroomOversized MirrorSoaking TubStainless Steel FixturesBuilding Amenities24-Hour ConciergeBilliardCentral ACCinema RoomDoormanDrive Court / DrivewayElevatorGarden / CourtyardGymLaundry in BuildingLoungeMaid ServiceOutdoor SpaceRoof TerraceStorageValetVideo SecurityOutdoor Golf CourseFor More Information Please contact Urvish Singh at 843-269-1355 or email kagglemanager@renthop.com<br /><br /><br /><br /><br /><br /><p><a  website_redacted ,Washington Street,"['Roof Deck', 'Doorman', 'Elevator', 'Fitness Center', 'Pre-War', 'Laundry in Building', 'Dishwasher', 'Hardwood Floors', 'Wheelchair Access', 'No Fee', 'Dogs Allowed', 'Cats Allowed']",medium,40.708,6986615,-74.0149,725a917d89e6202e11bc6fb0a575b2a9,"['https://photos.renthop.com/2/6986615_e1b3d288e50d548060b4701a0eb239c9.jpg', 'https://photos.renthop.com/2/6986615_8828f43dbd67d5352afba25349b13fe5.jpg', 'https://photos.renthop.com/2/6986615_f48918507244e16dd1416e95d70a6288.jpg', 'https://photos.renthop.com/2/6986615_90864531e8ea2211c0289e20fba427c4.jpg', 'https://photos.renthop.com/2/6986615_40144f882b910566a6f75090b7c33ffb.jpg', 'https://photos.renthop.com/2/6986615_9ca686d8385d6532a7a6fa939aa858ea.jpg']",3450,90 Washington Street,1725.0,"40.708,-74.0149", New York County,not available,108.7874145686761
15159,1.0,2,adc60175c23f23a9b3cf3899c7cf4842,2016-06-21 07:05:01,"Prime NoMad location! Located on east 30s and Park avenue. Steps from convenient transportation.<br /><br />True 2  bedroom apartment offering fantastic value . Hardwood flooring, white appliances in the kitchen and white tile full bathroom.<br /><br />24H doorman, elevator, GYM, laundry<br /><br /><p><a  website_redacted ",East 38th Street,"['Doorman', 'Elevator', 'Laundry in Building', 'Laundry in Unit', 'Dishwasher', 'Hardwood Floors', 'No Fee']",low,40.7491,7194136,-73.9789,8262449f40e9117f7a9ea49b4a333993,"['https://photos.renthop.com/2/7194136_93ae50795e313c837a74ee7c74435403.jpg', 'https://photos.renthop.com/2/7194136_0f2c38cbb3a09731e30887f4ce04d82c.jpg', 'https://photos.renthop.com/2/7194136_b106757abdd7d4274c4d6846d96ff796.jpg']",3180,108 East 38th Street,1060.0,"40.7491,-73.9789", New York County,not available,352.8430718638166
78624,2.0,2,665f4f6eb9a097fb213f99950b835b9a,2016-05-20 05:57:48,"No fee! Bright, Renovated XXl 2bed/2bath with open views on w 90th, Doorman, Residence garden<br /><br />Granite kitchen, stainless steal appliances, washer/dryer, hardwood floors, great closet space, laundry room...<br /><br />To view call Emil @ 565-360-4423<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><p><a  website_redacted ",101 W 90 St.,"['Dining Room', 'Doorman', 'Elevator', 'Laundry in Building', 'Laundry in Unit', 'Dishwasher', 'Hardwood Floors', 'Dogs Allowed', 'Cats Allowed']",medium,40.7893,7043994,-73.9705,d024c48f43195c6c978a8f51aa46715c,"['https://photos.renthop.com/2/7043994_908b631c9d4781bc3cab74dcbf574f18.jpg', 'https://photos.renthop.com/2/7043994_6d5dca4d48ab2d911c86843bc5808b20.jpg', 'https://photos.renthop.com/2/7043994_118b7e2548507cf8f98464baa985eaec.jpg', 'https://photos.renthop.com/2/7043994_5a5e1615290ffbb1bb235bb40019c937.jpg', 'https://photos.renthop.com/2/7043994_3659509420001b38ac48a8625b9a2a93.jpg', 'https://photos.renthop.com/2/7043994_dd86cb924bc301bf4835f356a8c77ac9.jpg', 'https://photos.renthop.com/2/7043994_957174931be95de4baa33aa04031c256.jpg', 'https://photos.renthop.com/2/7043994_689852eeb145b0923ff6417d81c48c91.jpg', 'https://photos.renthop.com/2/7043994_f1557ab87ae141e5d2fb5b6ef6b321a1.jpg', 'https://photos.renthop.com/2/7043994_01df43aa59e354f81bb648b64b09ef7a.jpg', 'https://photos.renthop.com/2/7043994_70fa8b5f70b21a780d32388446b25b98.jpg', 'https://photos.renthop.com/2/7043994_826a12410f67da306759b4d246f5cad4.jpg']",4500,101 W 90 St.,1125.0,"40.7893,-73.9705", New York County,not available,411.0829441006729
41196,1.0,0,18f6eb16d2f3e9885cb4a5d0a40791c6,2016-06-23 05:23:57,"Lovely studio apartment located in Midtown Manhattan. Separate windowed kitchen equipped with granite countertops and stainless steel appliances, including a dishwasher & a microwave. Marble tiled bathroom. Great closet space, hardwood throughout and high ceilings. The building offers 24Hr Doorman, elevators, Free gym!!! Kristina Gavrilova Licensed R.E. Salesperson 075-448-1902<br /><br /><br /><br /><br /><br /><p><a  website_redacted ",W 47th St.,"['Doorman', 'Elevator', 'Fitness Center', 'Laundry in Building', 'Dishwasher', 'Hardwood Floors']",medium,40.7586,7205616,-73.9838,dd36b42e307fbd7c8f2d9607a52cb791,"['https://photos.renthop.com/2/7205616_509713d145e875c3cff5095d119dd31f.jpg', 'https://photos.renthop.com/2/7205616_273208a17bef1dab4772ce242b3d6037.jpg', 'https://photos.renthop.com/2/7205616_8d560ba524a00fdceb98cd72e200deea.jpg']",2200,150 W 47th St.,2200.0,"40.7586,-73.9838", New York County,not available,137.8858634433798
92659,1.0,2,0,2016-04-08 06:20:32,Make this stunning unit your new home!- NO FEE- Hardwood floors - Updated appliances - Heat & Hot water included!Will not last!Call / text / email asap!<br /><br /><br /><br /><br /><br /><p><a  website_redacted ,Eastern Pkwy,"['Pre-War', 'Hardwood Floors', 'No Fee']",high,40.672,6845268,-73.9143,e845d8c8aafd8ef2117cf0fa88255641,"['https://photos.renthop.com/2/6845268_921e099ce295bf3cdfb4142de00e59f1.jpg', 'https://photos.renthop.com/2/6845268_9e1a1d4fb6727564f1fb4385bddbc8f1.jpg', 'https://photos.renthop.com/2/6845268_cfa94533c8c4a77b46404bee2edc57b0.jpg', 'https://photos.renthop.com/2/6845268_40132d3b687be42ac6661b6ef23be9b4.jpg', 'https://photos.renthop.com/2/6845268_5e22d24209384e174fcd75d65c75fb5c.jpg', 'https://photos.renthop.com/2/6845268_8de6124c9fab649c1774927dc3a5ece0.jpg']",1700,1631 Eastern Pkwy,566.6666666666666,"40.672,-73.9143", Kings County,not available,731.6320882116842
36137,1.0,3,d89f514c3ed0abaae52cba7017ac0701,2016-06-03 02:35:54,"--NO FEE-- TRUE 3 BEDROOMS IN A BEAUTIFUL TRIPLEX WITH A TERRACE! GUT RENOVATED KITCHEN AND BATH WITH STAINLESS STEEL APPLIANCES, HUGE WINDOWS THAT PROVIDES AN AMAZING SUN EXPOSURE AND LOTS OF CLOSETS!!<br /><br />THE BUILDING IS CLEAN AND WELL MAINTAINED, ELEVATOR, LAUNDRY, LIVE IN SUPER AND MORE!<br /><br />LOCATED IN A PRIME LOCATION!! IN THE 50'S AND LEX! BABY STEPS TO THE SUBWAY (E/M/6)!! THE AREA IS LOADED WITH EVERYTHING MIDTOWN EAST HAVE TO OFFER!<br /><br />PLEASE TEXT, EMAIL OR CALL ME AT YOUR EARLIEST CONVENIENCE FOR ADDITIONAL QUESTIONS. I'LL BE MORE THAN HAPPY TO HELP!<p><a  website_redacted ",E 54 St.,"['Dining Room', 'Balcony', 'Elevator', 'Multi-Level', 'Terrace', 'Laundry in Building', 'Dishwasher', 'Hardwood Floors', 'No Fee', 'Outdoor Space']",medium,40.7595,7101847,-73.9712,3d61dc38744a7f36140c27520060db59,"['https://photos.renthop.com/2/7101847_ffe18d1cdceda17777069fd92cbb8580.jpg', 'https://photos.renthop.com/2/7101847_ca8c53d0560ad7c76058f7195158cfab.jpg', 'https://photos.renthop.com/2/7101847_f145adcf61144cc5886eaf112136224b.jpg', 'https://photos.renthop.com/2/7101847_f8d6ba28dfcbd09eeccc1bb79036c60d.jpg', 'https://photos.renthop.com/2/7101847_faa989742cd02c40977dc838644d0edb.jpg', 'https://photos.renthop.com/2/7101847_83bf1f7a42aec451fc52d153031ba045.jpg', 'https://photos.renthop.com/2/7101847_1fe7afc1c3236a5ca88750ecd451f9a1.jpg', 'https://photos.renthop.com/2/7101847_05973cefd9ef54f503c6e764d75c8565.jpg']",4400,123 E 54 St.,1100.0,"40.7595,-73.9712", New York County,not available,272.6070578141466
104,1.0,0,b6a45520b1b92242a19819c5ed4b554a,2016-06-29 03:39:34,NO BROKER FEE.  Large south facing studio.     Very bright.   Nicely updated and renovated w/ new air conditioner.     Good closet space.     Awesome location off 2nd ave at @ east 76th.   This will not last.   CALL- TEXT- EMAIL Danielle LaCroix 542-996-7733 or Bobby Florian 542-996-7733<br /><br /><p><a  website_redacted ,E 76 Street,"['Loft', 'Hardwood Floors']",low,40.771,7230245,-73.9553,1cf642a07b4d7587d89519f8e4068c10,"['https://photos.renthop.com/2/7230245_7c7391cb16f2f846bb75685ae8177b49.jpg', 'https://photos.renthop.com/2/7230245_981d9ee44471cbb818d6a432535dc083.jpg', 'https://photos.renthop.com/2/7230245_59052ecb7b70cd9651439330805e90f8.jpg', 'https://photos.renthop.com/2/7230245_5f6ca430449e982fd1ef6558a7ee1e49.jpg', 'https://photos.renthop.com/2/7230245_375f0483891dd9e0fa8a9cf6878f3f1a.jpg']",1750,347 E 76 Street,1750.0,"40.771,-73.9553", New York County,not available,355.4880788050713
65171,2.0,2,61069a7cb537d02dd8ca82a6ccff819c,2016-05-21 02:40:36,"Stunning 2 bed / 2 bath with floor-ceilings throughout! Unit has a got a pass through kitchen with stainless steel appliances, hardwood floors throughout and 2 full marble baths. The unit is very sunny and has got a spacious living area with dining alcove high ceilings and a king-sized bedrooms with deep-closets.Amenities: -Clubhouse -Concierge Service -Elevator -Fitness Center -Laundry Facility -Package Service -Valet Dry Cleaning Service -High Speed Internet -A/CPlease do not miss out on this unit.<br /><br /><br /><br />--> SHOWING BY APPOINTMENT ONLY. FOR ALL YOUR MANHATTAN REAL ESTATE NEEDS CONTACT: VAS cell: (226-317-8312 fax: (226-317-8312 e-mail: kagglemanager@renthop.com ALL MY LISTINGS------- www.hgrny.com/vas -Disclosure -**Deals/Management offers are subject to change without notice!<br /><br /><p><a  website_redacted ",6th Ave.,"['Swimming Pool', 'Dining Room', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry in Building', 'Dishwasher', 'Hardwood Floors', 'Wheelchair Access', 'No Fee', 'Dogs Allowed', 'Cats Allowed']",medium,40.7452,7047024,-73.9916,c9c33695ee2a2f818e9f1d8f7d1c4b39,"['https://photos.renthop.com/2/7047024_e2da61423aa2bd776a223e0b1ef93b6c.jpg', 'https://photos.renthop.com/2/7047024_d35d890d5ab9b679b29b195d03169d0e.jpg', 'https://photos.renthop.com/2/7047024_e50959a5e85c73c206cd23f284901c79.jpg', 'https://photos.renthop.com/2/7047024_d46d6f134a897f065b0fb12248ad6052.jpg', 'https://photos.renthop.com/2/7047024_cd8fc7578e070d64113fbd1d3f419dd8.jpg', 'https://photos.renthop.com/2/7047024_5173d825699907c63bc968504ffeba15.jpg', 'https://photos.renthop.com/2/7047024_c6375813f1c9cc87a8d9102075e4f3f0.jpg', 'https://photos.renthop.com/2/7047024_89de6ba1993cab582e6289b2788b67d2.jpg']",6000,777 6th Ave.,1500.0,"40.7452,-73.9916", New York County,not available,246.7152610001839
13409,1.0,0,abe38f14b2bef7277160e93b51badc6e,2016-06-21 07:12:14,"Located between Manhattan's Chelsea and NoMad neighborhoods, Beatrice is a sleek tower perched atop the Eventi Hotel offering exquisite apartments starting on the 26th floor.  With gracious layouts, ultra-luxurious interior appointments and iconic river and city views through expansive walls of windows, Beatrice represents a new level of sophisticated city living.  Amenities include a 24-hour concierge, fitness center, yoga studio and an exclusive Cloud Lounge and sun deck.  Residents will also enjoy on-site hotel amenities including farm-to-table restaurant, Humphrey, and a dynamic urban park space featuring seasonal art installations and events.Air Conditioner, Dishwasher, Dryer, Garage, Large Closets, Microwave, Balcony, Patio, View, Laundry In Unit, Club House, Doorman, Concierge, Health Club, Garage, Laundry, On Site Management, Receiving Room, Rec Room, TransportationContact Dorota at 676-233-7227.<br /><br /><br /><br /><br /><br /><p><a  website_redacted ",West 29th Street,"['Roof Deck', 'Balcony', 'Doorman', 'Elevator', 'Fitness Center', 'Garden/Patio', 'Laundry in Building', 'Laundry in Unit', 'High Speed Internet', 'Dishwasher', 'Dogs Allowed', 'Cats Allowed']",low,40.7468,7194327,-73.9903,88546921fe21ff334e8d32e4b6929e2c,"['https://photos.renthop.com/2/7194327_c04245be23d64660d4f4d245b48a7189.jpg', 'https://photos.renthop.com/2/7194327_70b28764b027daafa03dc4e081c797a1.jpg', 'https://photos.renthop.com/2/7194327_a5cb52648670db605727885f3596eb94.jpg', 'https://photos.renthop.com/2/7194327_521fca73bc33dcdd0666c3d1969d0d69.jpg', 'https://photos.renthop.com/2/7194327_425e33f2306864fe77e7ca0e30854db0.jpg', 'https://photos.renthop.com/2/7194327_fa75c90f70dce9418a508112f938cbb1.jpg', 'https://photos.renthop.com/2/7194327_33ab0997ffbbe3eddc729c1e37acf5f0.jpg', 'https://photos.renthop.com/2/7194327_2ca4896ea5749149bde219909b53418a.jpg', 'https://photos.renthop.com/2/7194327_9f6dce03afe2832068f232ec584d2f01.jpg', 'https://photos.renthop.com/2/7194327_3f32cdf05439b4da502492bc76221fa9.jpg', 'https://photos.renthop.com/2/7194327_4ac66abd04bf0dda2e983708903f83aa.jpg', 'https://photos.renthop.com/2/7194327_05c09325e6c80c3050552fd88ff70e03.jpg', 'https://photos.renthop.com/2/7194327_9e202b7760b6f7ba7a0c8a2a73cbd9d2.jpg', 'https://photos.renthop.com/2/7194327_276182a9a72dbe08777c8775cf7855e2.jpg', 'https://photos.renthop.com/2/7194327_cba2c9c90517e0f15f011007bc93068b.jpg']",3500,105 West 29th Street,3500.0,"40.7468,-73.9903", New York County,not available,201.6135988630087
83300,1.0,1,0,2016-04-27 01:22:39,1 Bedroom in East VillageLocated in a quiet tree lined block in a Carriage House. ,East 11th Street,"['Pre-War', 'Dogs Allowed', 'Cats Allowed']",low,40.7295,6928699,-73.9847,1a990b1a6c7c3d052be3ecbafe1c53ef,[],2399,338 East 11th Street,1199.5,"40.7295,-73.9847", New York County,not available,303.1134027002629
78874,1.0,2,eaea5041914df950dc56f7782a35e426,2016-05-11 04:22:36,Large sunny living room. Two large equal sized rooms. Lots of closet space. Lovely bath. Large separate kitchen. Great 60s location. Close to subway. Close to park. Rent it before it disappears. <br/><br/>Bond New York is a real estate broker that supports equal housing opportunity.<p><a  website_redacted ,65th St.,"['Cats Allowed', 'Hardwood Floors', 'Call/Text Abraham Caro @ 917-373-0862']",low,40.763,6995053,-73.9587,c671e697434aa710888b0632eb2c6145,"['https://photos.renthop.com/2/6995053_809a6165d25a653d475c969122e332c0.jpg', 'https://photos.renthop.com/2/6995053_2779e88532a1e23aaa054782f58a7566.jpg', 'https://photos.renthop.com/2/6995053_f326de6880aaa9be4604d414a950a392.jpg', 'https://photos.renthop.com/2/6995053_4956b121affbedaff32dba150dccec67.jpg', 'https://photos.renthop.com/2/6995053_e20fcab1bf185c28d678bc1e5ce3aef3.jpg']",2950,417 E 65 Street,983.3333333333334,"40.763,-73.9587", New York County,not available,627.4137527385336
13964,1.0,1,a12ba0a062453d81074b8931769d6d0e,2016-06-29 05:06:33,"One Block from Central Park!This Apartment is totally new renovated. Refinished Hardwood Floors, Central Heat and Central Air Condition, Recessed Lightning , Storage Closet and High Ceilings.The Kitchen features Marble Countertops, Stainless Steele Appliances, Microwave and Dishwasher.The Bathroom is in excellent condition with a Jacuzzi-Tub and is en suite to the Bedroom.The Pre-War, Full Time Doorman Building has an Elevator and a Laundry Room. This Building is Pet friendly!",West 58th Street,"['Dishwasher', 'Elevator', 'No Fee', 'Cats Allowed', 'Dogs Allowed']",low,40.7658,7231470,-73.9781,dfd1166f8c1e88bb18b5e2495457e514,"['https://photos.renthop.com/2/7231470_805f0a7e0c9917a74d2326e5c2bfd154.jpg', 'https://photos.renthop.com/2/7231470_fe64b74540ea5411b68dbc77c2a32475.jpg', 'https://photos.renthop.com/2/7231470_446c9d06133d8fa3f52f3498f514667a.jpg', 'https://photos.renthop.com/2/7231470_6c715d2d1e761ba139751404c8d75123.jpg', 'https://photos.renthop.com/2/7231470_330eafe0b114ab8f5d0af23e317d3cce.jpg', 'https://photos.renthop.com/2/7231470_3504d1be26dd0cb3795c1dfbba15dcce.jpg', 'https://photos.renthop.com/2/7231470_50a40963458548d25215a30388d240f2.jpg']",3600,145 West 58th Street,1800.0,"40.7658,-73.9781", New York County,not available,200.2271653522995
99468,1.0,2,240c90a25f43280bd489939f99e98723,2016-04-09 03:38:02,"Newly Available! Immaculate 915 Sqft Junior-4/Convertible 2 bedroom apartment. Full Walls Ok! King Size bedroom and Queen Size Converted Second Bedroom. Updated Kitchen and Bathroom. Excellent Closet Space! 24 Hour doorman building with laundry facilities and free gym. Prime Lexington Ave Location...Close to all shopping, dining and mass transit.<br /><br />Contact Nimisha at 849-848-8396 to view today!<br /><br /><br /><br /><p><a  website_redacted ",E 56th St.,"['Doorman', 'Elevator', 'Fitness Center', 'Pre-War', 'Laundry in Building', 'Dishwasher', 'Hardwood Floors', 'No Fee', 'Dogs Allowed', 'Cats Allowed']",medium,40.7602,6848405,-73.9689,e65c724a97d4c6d8ae9326a08891fc31,"['https://photos.renthop.com/2/6848405_2e9499e1262c4898c79d45b608cae262.jpg', 'https://photos.renthop.com/2/6848405_8fa167dda21eda2df37a2926760a5f84.jpg', 'https://photos.renthop.com/2/6848405_b9f61d8b235eaf43ee1e9e48182f7fac.jpg', 'https://photos.renthop.com/2/6848405_0ddc7d5409dd79cfbf1e7106494be740.jpg']",3500,141 E 56th St.,1166.6666666666667,"40.7602,-73.9689", New York County,not available,270.0474462009821
